1,100 Day Loans,NULL,0,0,NULL,435935688,0
2,ABCmouse Academy,NULL,0,0,NULL,332725526,0
3,ADT,NULL,0,0,NULL,355146685,0
4,AHS Warranty,NULL,0,0,NULL,787574207,0
5,AccuQuote,NULL,0,0,NULL,116716637,0
6,Action Loans,NULL,0,0,NULL,966411141,0
7,Ada Peacock,NULL,0,0,NULL,254056371,0
8,Adele,NULL,0,0,NULL,855757828,0
9,Agathe,NULL,0,0,NULL,NULL,0
10,Airline Tickets,NULL,0,0,NULL,186970849,0
11,Approval Department,NULL,0,0,NULL,834502486,0
12,Autos.com Best Price,NULL,0,0,NULL,757818498,0
13,Bamboo Flooring,NULL,0,0,NULL,310900000,0
14,Bankruptcy,NULL,0,0,NULL,489626922,0
15,Bathroom Remodeling,NULL,0,0,NULL,509495324,0
16,Bessie Feliciano,NULL,0,0,NULL,220119496,0
17,Best Cigars,NULL,0,0,NULL,526274566,0
18,Bethany,NULL,0,0,NULL,386389059,0
19,BidTwister,NULL,0,0,NULL,901044832,0
20,Bienprevoir.fr,NULL,0,0,NULL,130958781,0
21,Bosley,NULL,0,0,NULL,971128236,0
22,Bouygues Immobilier,NULL,0,0,NULL,955019865,0
23,Brandname Coupons,NULL,0,0,NULL,191210441,0
24,Bridget Pratt,NULL,0,0,NULL,791719525,0
25,Business Network,NULL,0,0,NULL,607585179,0
26,CARCHEX,NULL,0,0,NULL,307550203,0
27,CardRatings,NULL,0,0,NULL,NULL,0
28,Cell Phone for Free,NULL,0,0,NULL,881550209,0
29,Chloe,NULL,0,0,NULL,NULL,0
30,Claim it,NULL,0,0,NULL,818816252,0
31,Coffee Break,NULL,0,0,NULL,220999758,0
32,Cooking School,NULL,0,0,NULL,838282079,0
33,Coupon Castle,NULL,0,0,NULL,448939491,0
34,CreditReport,NULL,0,0,NULL,491674471,0
35,Cruise,NULL,0,0,NULL,737894530,0
36,DISH Promotions,NULL,0,0,NULL,513630505,0
37,DSL,NULL,0,0,NULL,256901309,0
38,Daily Savings,NULL,0,0,NULL,873271840,0
39,Dating Network,NULL,0,0,NULL,499127845,0
40,Dental Plans,NULL,0,0,NULL,421418719,0
41,Diabetic Connect,NULL,0,0,NULL,945412890,0
42,DirectBuy,NULL,0,0,NULL,628907840,0
43,DoneRight,NULL,0,0,NULL,190462191,0
44,Dorothee,NULL,0,0,NULL,655151672,0
45,Easy Loans,NULL,0,0,NULL,721075611,0
46,Equifax Ratings,NULL,0,0,NULL,428393401,0
47,Equipe Decoclico,NULL,0,0,NULL,309105458,0
48,Expert Photo,NULL,0,0,NULL,856953515,0
49,Facebook,NULL,0,0,NULL,268343893,0
50,Featured Deals,NULL,0,0,NULL,456632356,0
51,Film School,NULL,0,0,NULL,673219959,0
52,Financial Freedom,NULL,0,0,NULL,536312494,0
53,FindYourWindows,NULL,0,0,NULL,763945448,0
