F000001,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,976B6942-5C38-48AA-8067-417F47376228-260846DC-175E-4CD1-BCB7-D0EEFB69A2A9,2500.00,2990.00,19.60
F000002,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,8303F394-9686-41C1-AEBC-F65B426731AC-AF183CD9-0371-407B-A510-40D420E861E4,2500.00,2990.00,19.60
F000003,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,2629A395-8488-401C-993F-7CA49555516D-E335A7C3-1DA0-4092-ADA3-ACEBE451208C,2500.00,2990.00,19.60
F000004,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,D4DC0658-F1DE-410B-BFF4-34F791552915-20ACA765-A0DB-430D-8D25-FC4D9B48EC4F,2500.00,2990.00,19.60
F000005,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,862E86EE-D64F-49D2-94A6-CDECE9DE6896-CD053676-6CF6-49E2-B0F9-010A39DED381,2500.00,2990.00,19.60
F000006,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,98509086-E139-46D4-881B-31244A0DD9A3-393D1E1B-5F9D-42DF-8813-D2DC7DF24167,10000.00,11960.00,19.60
F000007,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,4357B245-998E-44A7-BF98-8D19DB3E4F67-65057284-9134-4E17-8242-4A62952B03D0,5000.00,5980.00,19.60
F000008,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,C09F17C3-8E0E-4BE3-B673-21DE92194E7B-0A8C0745-065D-40B6-B0EA-11AD94C57CCD,2500.00,2990.00,19.60
F000009,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,C4AFAC57-BB63-4C8C-9F0E-83A1B8139648-84019B0A-BC21-405F-B476-ED155CD8EA02,2500.00,2990.00,19.60
F000010,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,B0D41C3F-456D-4247-A49E-5C928BD15EF4-76AA7EE1-3CD9-463E-B459-6DB81EA7ACE4,2500.00,2990.00,19.60
F000011,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,D8F02C0F-0EA5-4ABD-B36E-7E1E27A54BF6-247E89CA-3ECA-4331-A05E-4EE92B365793,2500.00,2990.00,19.60
F000012,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,4A31602B-5D57-46F5-A975-C5D4FF929BED-F7A90348-2FC0-4C6E-93AD-B8C40761F8AD,2500.00,2990.00,19.60
F000013,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,7CA55A3F-C34B-4181-8E7D-216A4A6EAE4A-057BC0E7-579F-4B5A-8DFF-DF9D7617A77D,2500.00,2990.00,19.60
F000014,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,A31AE6E3-85B7-4C0F-B0D9-8D061798F3D8-CB35A155-BE6F-4547-BDD6-57BC3717797C,2500.00,2990.00,19.60
F000015,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,23B28600-91D2-4690-A710-0AFB4192E17D-491DFC9A-018F-402A-97D4-D8022A3DF332,2500.00,2990.00,19.60
F000016,NULL,NULL,2011-01-01 00:00:00,2011-01-08,0,NULL,NULL,1EB67F69-8672-40CC-B576-1A883AB7F0C0-314004E0-0DE0-4459-B769-D669AB0A2088,7500.00,8970.00,19.60
F000017,NULL,NULL,2011-01-01 00:00:00,2011-01-10,0,NULL,NULL,6061E22F-C461-4D59-8777-A516EE425735-48729672-6104-45C6-8D3A-FB632D35E694,10000.00,11960.00,19.60
F000018,NULL,NULL,2011-01-01 00:00:00,2011-01-10,0,NULL,NULL,68D7919A-64C4-4BD9-BDD7-617F3636448D-1B3CD480-787D-4CA0-AA6F-84036B5540AA,7500.00,8970.00,19.60
F000019,NULL,NULL,2011-01-01 00:00:00,2011-01-10,0,NULL,NULL,B483E77C-8B05-48B7-AA7C-5E95C720B533-76E7B19E-E0A0-496A-AAD5-72CD55579C8C,2500.00,2990.00,19.60
F000020,NULL,NULL,2011-01-01 00:00:00,2011-01-10,0,NULL,NULL,BDC47218-DEAC-4E7D-97CC-E7260CAFC569-1F869970-AF31-404E-AE73-971547AABC5B,2500.00,2990.00,19.60
F000021,NULL,NULL,2011-01-01 00:00:00,2011-01-10,0,NULL,NULL,FF17BA6C-7530-492B-9348-871FC3AFFFD3-D49A2FAA-7516-4267-84FD-498C03E02612,2500.00,2990.00,19.60
